,gcDate,House_Count,Total_Weight
163,2022-08-17,3.0,0.273
164,2022-08-18,4.0,0.273
165,2022-08-19,6.0,0.273
166,2022-08-20,8.0,0.273
167,2022-08-21,7.0,0.273
168,2022-08-22,1.0,0.273
169,2022-08-23,-10.0,0.273
170,2022-08-24,-27.0,0.273
171,2022-08-25,-48.0,0.273
172,2022-08-26,-75.0,0.273
173,2022-08-27,-107.0,0.273
174,2022-08-28,-145.0,0.273
175,2022-08-29,-187.0,0.273
176,2022-08-30,-235.0,0.273
177,2022-08-31,-288.0,0.273
178,2022-09-01,-347.0,0.273
179,2022-09-02,-410.0,0.273
180,2022-09-03,-479.0,0.273
181,2022-09-04,-553.0,0.273
182,2022-09-05,-633.0,0.273
183,2022-09-06,-717.0,0.273
184,2022-09-07,-807.0,0.273
185,2022-09-08,-887.0,0.273
186,2022-09-09,-941.0,0.273
187,2022-09-10,-970.0,0.273
188,2022-09-11,-974.0,0.273
189,2022-09-12,-952.0,0.273
190,2022-09-13,-905.0,0.273
191,2022-09-14,-832.0,0.273
192,2022-09-15,-733.0,0.273
193,2022-09-16,-610.0,0.273
194,2022-09-17,-461.0,0.273
195,2022-09-18,-286.0,0.273
196,2022-09-19,-86.0,0.273
197,2022-09-20,139.0,0.273
198,2022-09-21,390.0,0.273
199,2022-09-22,666.0,0.269
200,2022-09-23,968.0,1.663
201,2022-09-24,1295.0,1.923
202,2022-09-25,1648.0,2.404
203,2022-09-26,2026.0,2.324
204,2022-09-27,2318.0,3.013
205,2022-09-28,2413.0,0.966
206,2022-09-29,2312.0,3.013
207,2022-09-30,2165.0,1.699
208,2022-10-01,2414.0,0.966
209,2022-10-02,414.0,0.273
210,2022-10-03,2.0,0.273
211,2022-10-04,4161.0,4.012
212,2022-10-05,4962.0,4.012
213,2022-10-06,3541.0,4.012
214,2022-10-07,2392.0,0.635
215,2022-10-08,1803.0,2.2
216,2022-10-09,2161.0,1.699
217,2022-10-10,2134.0,0.81
218,2022-10-11,1011.0,1.525
219,2022-10-12,1791.0,1.611
220,2022-10-13,1.0,0.273
221,2022-10-14,1341.0,2.099
222,2022-10-15,1675.0,2.591
223,2022-10-16,1830.0,1.836
224,2022-10-17,2044.0,3.15
225,2022-10-18,2349.0,4.73
226,2022-10-19,3302.0,5.46
